iter	Passed	Remaining
574	91389	67548
575	91492	67348
576	91587	67142
577	91697	66948
578	91796	66746
579	91898	66547
580	91999	66347
581	92100	66147
582	92191	65941
583	92290	65741
584	92395	65545
585	92489	65342
586	92595	65148
587	92805	65026
588	92944	64856
589	93064	64671
590	93160	64471
591	93261	64274
592	93357	64075
593	93451	63874
594	93550	63677
595	93648	63480
596	93749	63284
597	93863	63098
598	94011	62936
599	94190	62793
600	94340	62632
601	94461	62451
602	94569	62262
603	94671	62069
604	94777	61879
605	94900	61701
606	95100	61572
607	95269	61423
608	95482	61303
609	95602	61122
610	95715	60938
611	95817	60747
612	95915	60553
613	96014	60361
614	96106	60164
615	96225	59984
616	96324	59792
617	96428	59604
618	96560	59434
619	96792	59324
620	97012	59207
621	97129	59027
622	97231	58838
623	97332	58648
624	97441	58465
625	97531	58269
626	97638	58084
627	97752	57904
628	97861	57721
629	97963	57534
630	98061	57345
631	98151	57151
632	98253	56965
633	98360	56782
634	98468	56599
635	98575	56417
636	98676	56231
637	98784	56050
638	98881	55862
639	99062	55722
640	99236	55578
641	99363	55408
642	99471	55227
643	99591	55053
644	99695	54870
645	99861	54723
646	100038	54580
647	100193	54426
648	100423	54312
649	100632	54186
650	100818	54048
651	100960	53887
652	101070	53707
653	101228	53555
654	101321	53367
655	101424	53186
656	101527	53004
657	101629	52822
658	101747	52649
659	101845	52465
660	101971	52297
661	102159	52160
662	102269	51983
663	102360	51797
664	102463	51617
665	102563	51435
666	102663	51254
667	102767	51075
668	102873	50898
669	102967	50715
670	103077	50540
671	103193	50368
672	103319	50201
673	103431	50027
674	103546	49855
675	103651	49679
676	103755	49502
677	103857	49324
678	104003	49168
679	104102	48989
680	104192	48806
681	104288	48627
682	104383	48447
683	104491	48273
684	104591	48096
685	104688	47918
686	104786	47741
687	104885	47564
688	104990	47390
689	105105	47221
690	105208	47046
691	105308	46871
692	105408	46695
693	105506	46520
694	105606	46345
695	105705	46170
696	105813	45999
697	105921	45828
698	106054	45668
699	106260	45540
700	106409	45387
701	106525	45220
702	106631	45049
703	106740	44879
704	106866	44717
705	106960	44541
706	107055	44366
707	107176	44202
708	107445	44099
709	107592	43946
710	107691	43773
711	107790	43600
712	107879	43424
713	107963	43245
714	108066	43075
715	108154	42899
716	108253	42727
717	108345	42553
718	108432	42377
719	108546	42212
720	108645	42041
721	108766	41879
722	108890	41718
723	108988	41548
724	109087	41378
725	109192	41210
726	109293	41041
727	109389	40870
728	109494	40703
729	109596	40535
730	109687	40363
731	109787	40195
732	109882	40025
733	109970	39853
734	110056	39680
735	110152	39511
736	110246	39341
737	110339	39171
738	110427	39000
739	110545	38840
740	110728	38702
741	110853	38544
742	110945	38375
743	111049	38210
744	111151	38045
745	111243	37876
746	111343	37710
747	111437	37542
748	111531	37375
749	111667	37222
750	111789	37064
751	111961	36923
752	112064	36759
753	112169	36596
754	112283	36436
755	112372	36268
756	112471	36103
757	112582	35943
758	112681	35778
759	112771	35612
760	112884	35452
761	112977	35286
762	113088	35127
763	113176	34960
764	113279	34798
765	113367	34631
766	113465	34468
767	113575	34309
768	113685	34150
769	113792	33989
770	113896	33829
771	113997	33667
772	114091	33504
773	114189	33342
774	114307	33186
775	114436	33033
776	114548	32875
777	114644	32713
778	114765	32558
779	114856	32395
780	114958	32235
781	115071	32078
782	115164	31916
783	115258	31754
784	115356	31594
785	115452	31433
786	115553	31274
787	115657	31115
788	115752	30955
789	115865	30799
790	115953	30637
791	116051	30478
792	116195	30330
793	116282	30169
794	116377	30009
795	116475	29850
796	116581	29693
797	116682	29536
798	116798	29382
799	116894	29223
800	116985	29063
801	117084	28906
802	117339	28786
803	117522	28649
804	117610	28489
805	117805	28355
806	117990	28218
807	118088	28060
808	118195	27905
809	118302	27750
810	118414	27595
811	118522	27441
812	118616	27283
813	118724	27128
814	118834	26974
815	118931	26817
816	119039	26663
817	119148	26509
818	119248	26354
819	119354	26199
820	119458	26045
821	119564	25891
822	119667	25736
823	119756	25579
824	119857	25424
825	119955	25269
826	120063	25115
827	120161	24961
828	120262	24806
829	120363	24652
830	120459	24497
831	120563	24344
832	120653	24188
833	120750	24034
834	120853	23881
835	120951	23727
836	121056	23574
837	121194	23428
838	121294	23275
839	121402	23124
840	121507	22972
841	121600	22818
842	121711	22667
843	121805	22513
844	121907	22361
845	122008	22209
846	122107	22057
847	122204	21904
848	122301	21752
849	122397	21599
850	122501	21448
851	122627	21301
852	122738	21151
853	122841	21001
854	122937	20849
855	123054	20700
856	123161	20550
857	123266	20400
858	123362	20249
859	123469	20099
860	123562	19947
861	123657	19796
862	123761	19647
863	123889	19501
864	123989	19350
865	124098	19202
866	124198	19052
867	124300	18902
868	124399	18752
869	124497	18603
870	124596	18453
871	124694	18303
872	124790	18153
873	124921	18009
874	125062	17866
875	125178	17719
876	125280	17570
877	125381	17422
878	125493	17274
879	125601	17127
880	125711	16980
881	125817	16832
882	125914	16684
883	126110	16548
884	126279	16409
885	126381	16261
886	126478	16112
887	126585	15965
888	126688	15818
889	126782	15669
890	126877	15521
891	126986	15375
892	127088	15227
893	127253	15088
894	127371	14942
895	127464	14794
896	127565	14647
897	127696	14504
898	127813	14359
899	127907	14211
900	128009	14065
901	128101	13917
902	128203	13771
903	128300	13624
904	128401	13478
905	128500	13332
906	128594	13185
907	128700	13040
908	128797	12893
909	128907	12749
910	129012	12603
911	129100	12457
912	129199	12311
913	129320	12168
914	129480	12028
915	129603	11885
916	129712	11740
917	129842	11598
918	129964	11454
919	130063	11309
920	130159	11164
921	130259	11019
922	130391	10877
923	130517	10735
924	130626	10591
925	130795	10452
926	130915	10309
927	131031	10166
928	131129	10021
929	131231	9877
930	131327	9733
931	131420	9588
932	131553	9447
933	131662	9303
934	131759	9159
935	131914	9019
936	132050	8878
937	132148	8734
938	132249	8591
939	132345	8447
940	132449	8304
941	132547	8161
942	132640	8017
943	132749	7874
944	132849	7731
